tau,slice,series,n,sq
12,sel,s24,712,41.714991014578686
12,sel,s48,712,42.88961773668275
12,sel,s72,712,43.38522845422566
12,sel,s96,712,46.46707469597084
12,sel,s120,712,50.06864606004847
12,sel,b24x48,712,42.04814707691974
12,sel,b24x72,712,41.92351214985089
12,sel,b24x96,712,43.271735094599144
12,sel,b24x120,712,44.0063346948186
12,sel,b48x72,712,42.872222853218595
12,sel,b48x96,712,44.19366286917493
12,sel,b48x120,712,45.130591550482116
12,sel,b72x96,712,44.53022404945321
12,sel,b72x120,712,45.63974334547835
12,sel,b96x120,712,47.53072604297546
12,sco,s24,401,29.89270623204374
12,sco,s48,401,32.541469113704146
12,sco,s72,401,31.36112657743181
12,sco,s96,401,32.98411248587432
12,sco,s120,401,34.860223634777434
12,sco,b24x48,401,30.949593627334025
12,sco,b24x72,401,30.26688758073862
12,sco,b24x96,401,30.890025583718664
12,sco,b24x120,401,31.58929208120811
12,sco,b48x72,401,31.73159206438966
12,sco,b48x96,401,32.31530833409985
12,sco,b48x120,401,33.17047359780116
12,sco,b72x96,401,31.842853067367024
12,sco,b72x120,401,32.677123180248124
12,sco,b96x120,401,33.252201759849456
15,sel,s24,709,42.77627325247197
15,sel,s48,709,44.0742685912161
15,sel,s72,709,43.563475608588604
15,sel,s96,709,47.27094863914281
15,sel,s120,709,50.524510140878455
15,sel,b24x48,709,43.16437640481635
15,sel,b24x72,709,42.52800019464451
15,sel,b24x96,709,44.144379908983595
15,sel,b24x120,709,44.661558828669506
15,sel,b48x72,709,43.55030697609736
15,sel,b48x96,709,45.158014015246906
15,sel,b48x120,709,45.890854604606744
15,sel,b72x96,709,45.00694025036595
15,sel,b72x120,709,45.958186992777094
15,sel,b96x120,709,48.168503482785006
15,sco,s24,401,29.758430827805583
15,sco,s48,401,33.22556270486632
15,sco,s72,401,31.239938698944542
15,sco,s96,401,32.719679582423936
15,sco,s120,401,34.80839355003551
15,sco,b24x48,401,31.240511988661815
15,sco,b24x72,401,30.183882844197818
15,sco,b24x96,401,30.683861879098195
15,sco,b24x120,401,31.478070739618097
15,sco,b48x72,401,31.974128962042986
15,sco,b48x96,401,32.510499741791996
15,sco,b48x120,401,33.41385652047615
15,sco,b72x96,401,31.648125325438535
15,sco,b72x120,401,32.47234860686338
15,sco,b96x120,401,33.08775847447316
18,sel,s24,706,44.32519490280795
18,sel,s48,706,44.417822872565125
18,sel,s72,706,43.37568157398813
18,sel,s96,706,48.09950941245058
18,sel,s120,706,50.895461070040994
18,sel,b24x48,706,44.046896789255946
18,sel,b24x72,706,43.130927549415524
18,sel,b24x96,706,45.126952538726044
18,sel,b24x120,706,45.368535581383796
18,sel,b48x72,706,43.60097836781341
18,sel,b48x96,706,45.6870316863226
18,sel,b48x120,706,46.12641287857787
18,sel,b72x96,706,45.28233461585651
18,sel,b72x120,706,45.972364555718684
18,sel,b96x120,706,48.761435781140506
18,sco,s24,401,30.18435983988677
18,sco,s48,401,34.57948044196369
18,sco,s72,401,32.377857490826905
18,sco,s96,401,33.20712023915067
18,sco,s120,401,36.06508091791831
18,sco,b24x48,401,32.1107385046598
18,sco,b24x72,401,30.970280934813143
18,sco,b24x96,401,31.167246666038167
18,sco,b24x120,401,32.309619437428125
18,sco,b48x72,401,33.198704275621445
18,sco,b48x96,401,33.496074773255046
18,sco,b48x120,401,34.675292790117325
18,sco,b72x96,401,32.49633645084854
18,sco,b72x120,401,33.62200498748479
18,sco,b96x120,401,34.04076055263239
21,sel,s24,703,45.55189882974104
21,sel,s48,703,44.28212183712342
21,sel,s72,703,42.78983827736987
21,sel,s96,703,48.000034819435974
21,sel,s120,703,50.8018415702044
21,sel,b24x48,703,44.61765169894156
21,sel,b24x72,703,43.35580593098656
21,sel,b24x96,703,45.506159707172955
21,sel,b24x120,703,45.72508489418538
21,sel,b48x72,703,43.20743897567965
21,sel,b48x96,703,45.45833984957972
21,sel,b48x120,703,45.87796527874146
21,sel,b72x96,703,44.98999664809639
21,sel,b72x120,703,45.72595717456213
21,sel,b96x120,703,48.651620775491935
21,sco,s24,401,31.643929412705695
21,sco,s48,401,36.85565561546031
21,sco,s72,401,34.162069074298
21,sco,s96,401,35.37644554057967
21,sco,s120,401,37.37925662513288
21,sco,b24x48,401,33.97834028941451
21,sco,b24x72,401,32.600096002250496
21,sco,b24x96,401,32.99378270295618
21,sco,b24x120,401,33.76092532246618
21,sco,b48x72,401,35.226986101240676
21,sco,b48x96,401,35.7144403528752
21,sco,b48x120,401,36.481153854597885
21,sco,b72x96,401,34.48181307154774
21,sco,b72x120,401,35.19349574819238
21,sco,b96x120,401,35.77856699406961
24,sel,s24,700,45.47187483727174
24,sel,s48,700,44.401580609386016
24,sel,s72,700,42.90671947528848
24,sel,s96,700,47.53615256341528
24,sel,s120,700,49.83522642045615
24,sel,b24x48,700,44.67779941504933
24,sel,b24x72,700,43.46618892962053
24,sel,b24x96,700,45.31056098029852
24,sel,b24x120,700,45.39649512489492
24,sel,b48x72,700,43.31716776415832
24,sel,b48x96,700,45.24665365152209
24,sel,b48x120,700,45.554758105464046
24,sel,b72x96,700,44.783441210684416
24,sel,b72x120,700,45.375707172619954
24,sel,b96x120,700,47.85196074239817
24,sco,s24,401,32.265358562843545
24,sco,s48,401,37.78698214538216
24,sco,s72,401,35.51596322778359
24,sco,s96,401,37.06776712999223
24,sco,s120,401,38.087376654235975
24,sco,b24x48,401,34.73740562800893
24,sco,b24x72,401,33.609308477201594
24,sco,b24x96,401,34.11807665393456
24,sco,b24x120,401,34.483848453752856
24,sco,b48x72,401,36.39561352712553
24,sco,b48x96,401,36.97634733539783
24,sco,b48x120,401,37.3686438546204
24,sco,b72x96,401,36.00133460280621
24,sco,b72x120,401,36.2869450876572
24,sco,b96x120,401,37.00686014490575
27,sel,s24,697,44.136418390765
27,sel,s48,697,44.44051720501941
27,sel,s72,697,42.20721581191653
27,sel,s96,697,47.97986553357419
27,sel,s120,697,48.34875390380439
27,sel,b24x48,697,44.01256826614636
27,sel,b24x72,697,42.48737188004545
27,sel,b24x96,697,44.92605265026009
27,sel,b24x120,697,44.171264691006996
27,sel,b48x72,697,42.96983911328793
27,sel,b48x96,697,45.46007233653992
27,sel,b48x120,697,44.93373397015782
27,sel,b72x96,697,44.637883565224705
27,sel,b72x120,697,44.245079565550085
27,sel,b96x120,697,47.298758546578924
27,sco,s24,401,31.400518243358395
27,sco,s48,401,37.27128745132221
27,sco,s72,401,35.85214525899616
27,sco,s96,401,36.03702701147007
27,sco,s120,401,38.28958882780183
27,sco,b24x48,401,33.99586844673666
27,sco,b24x72,401,33.35226086330075
27,sco,b24x96,401,33.14798330658279
27,sco,b24x120,401,34.11915566125724
27,sco,b48x72,401,36.31059447408147
27,sco,b48x96,401,36.1602115079217
27,sco,b48x120,401,37.25692483491331
27,sco,b72x96,401,35.68456917051527
27,sco,b72x120,401,36.59146355322734
27,sco,b96x120,401,36.66194924477653
30,sel,s24,694,45.902858831916745
30,sel,s48,694,45.537114842838044
30,sel,s72,694,43.35663807553021
30,sel,s96,694,49.12625193938414
30,sel,s120,694,50.46031466016265
30,sel,b24x48,694,45.42858622849518
30,sel,b24x72,694,43.9221967055347
30,sel,b24x96,694,46.407708769091
30,sel,b24x120,694,46.04591469499931
30,sel,b48x72,694,44.13710787082285
30,sel,b48x96,694,46.665255682138145
30,sel,b48x120,694,46.56887002416018
30,sel,b72x96,694,45.79219639741974
30,sel,b72x120,694,45.83582425782745
30,sel,b96x120,694,48.94375610490487
30,sco,s24,401,30.774401674960416
30,sco,s48,401,37.037530583494735
30,sco,s72,401,35.314461901503996
30,sco,s96,401,34.854342284619236
30,sco,s120,401,38.593818347459084
30,sco,b24x48,401,33.52218781015125
30,sco,b24x72,401,32.77371731730168
30,sco,b24x96,401,32.251702922194426
30,sco,b24x120,401,33.908437215318465
30,sco,b48x72,401,35.899063070350564
30,sco,b48x96,401,35.410379244919866
30,sco,b48x120,401,37.31968999285908
30,sco,b72x96,401,34.784678712363345
30,sco,b72x120,401,36.50247219420961
30,sco,b96x120,401,36.275414134418824
33,sel,s24,691,47.72474379015919
33,sel,s48,691,46.17774935540907
33,sel,s72,691,45.21190757982767
33,sel,s96,691,49.95576580772615
33,sel,s120,691,51.66977201229952
33,sel,b24x48,691,46.68570245171108
33,sel,b24x72,691,45.81030174781674
33,sel,b24x96,691,47.73074076095734
33,sel,b24x120,691,47.60825186098889
33,sel,b48x72,691,45.35992145903342
33,sel,b48x96,691,47.375889702058274
33,sel,b48x120,691,47.43373450382974
33,sel,b72x96,691,47.08604720982454
33,sel,b72x120,691,47.28047122898933
33,sel,b96x120,691,49.956160599785015
33,sco,s24,401,31.538410789769284
33,sco,s48,401,37.18384760062202
33,sco,s72,401,35.43659992327225
33,sco,s96,401,35.94685848092687
33,sco,s120,401,38.93441942156981
33,sco,b24x48,401,34.0040842462999
