arm,station,lead,crps,n_test
A,Chards Snowdon Hill,24,0.0938751478706968,3104
A,Chards Snowdon Hill,48,0.10440445430004193,3104
A,Chards Snowdon Hill,72,0.11288890786844259,3104
A,Goren,24,0.11714980418261724,3102
A,Goren,48,0.13008637172855564,3102
A,Goren,72,0.1398919343892849,3102
A,Raymonds Hill,24,0.12756046310778849,3102
A,Raymonds Hill,48,0.13796324361865414,3102
A,Raymonds Hill,72,0.14856553871260536,3102
B,Chards Snowdon Hill,24,0.0937329336637879,3104
B,Chards Snowdon Hill,48,0.10394208577636585,3104
B,Chards Snowdon Hill,72,0.11273193316434664,3104
B,Goren,24,0.11683569829256615,3102
B,Goren,48,0.1290415673332934,3102
B,Goren,72,0.1382822387259602,3102
B,Raymonds Hill,24,0.12580584729161723,3102
B,Raymonds Hill,48,0.13686285280883612,3102
B,Raymonds Hill,72,0.14783429828028893,3102
C,Chards Snowdon Hill,24,0.0928416489254453,3104
C,Chards Snowdon Hill,48,0.10516005563783347,3104
C,Chards Snowdon Hill,72,0.11263504508709798,3104
C,Goren,24,0.11561851643288697,3102
C,Goren,48,0.13101638247637967,3102
C,Goren,72,0.13889237048950917,3102
C,Raymonds Hill,24,0.1270003166843601,3102
C,Raymonds Hill,48,0.1364124856640512,3102
C,Raymonds Hill,72,0.1477371255288774,3102
D,Chards Snowdon Hill,24,0.09371154886089912,3104
D,Chards Snowdon Hill,48,0.10467366384099419,3104
D,Chards Snowdon Hill,72,0.11211567103450068,3104
D,Goren,24,0.11441799347538108,3102
D,Goren,48,0.13045981014095293,3102
D,Goren,72,0.13835480599082875,3102
D,Raymonds Hill,24,0.1263694313306157,3102
D,Raymonds Hill,48,0.13659747932555538,3102
D,Raymonds Hill,72,0.14742877674511148,3102
E,Chards Snowdon Hill,24,0.09261203595516665,3104
E,Goren,24,0.11642615652420525,3102
E,Raymonds Hill,24,0.12543865512917718,3102
E,Chards Snowdon Hill,48,0.10437537347663073,3104
E,Goren,48,0.12933156352414837,3102
E,Raymonds Hill,48,0.13596734392835738,3102
E,Chards Snowdon Hill,72,0.11270376418991564,3104
E,Goren,72,0.1387192711157055,3102
E,Raymonds Hill,72,0.14799130344055902,3102
F,Chards Snowdon Hill,24,0.09212539031738214,3104
F,Goren,24,0.11577741659838443,3102
F,Raymonds Hill,24,0.12479990775335087,3102
F,Chards Snowdon Hill,48,0.10539064061154768,3104
F,Goren,48,0.12991754213082993,3102
F,Raymonds Hill,48,0.13667981689237207,3102
F,Chards Snowdon Hill,72,0.11248021764749108,3104
F,Goren,72,0.13794060316891768,3102
F,Raymonds Hill,72,0.14733438647510647,3102
G,Chards Snowdon Hill,24,0.09237772580164813,3104
G,Goren,24,0.1160423152689952,3102
G,Raymonds Hill,24,0.12558092310810057,3102
G,Chards Snowdon Hill,48,0.10547406599801794,3104
G,Goren,48,0.13046013112292437,3102
G,Raymonds Hill,48,0.1374702125212137,3102
G,Chards Snowdon Hill,72,0.11321558918849649,3104
G,Goren,72,0.13833704502109498,3102
G,Raymonds Hill,72,0.14795818921205262,3102
