model,lead,mae,rmse,r2,mae_wet,corr
nwp_mean,24,0.167502399418079,0.5248131160649672,0.3891264697571914,0.6366209512561217,0.638576931895869
lgbm_tweedie,24,0.18046245297167376,0.5307074314051984,0.3735232083774555,0.6365655536484259,0.6292587346803139
zero,24,0.1864844711634093,0.6962623347822311,-0.07791003988915739,0.9407358856689726,
lgbm_regression,24,0.20085276636306723,0.5288901240185911,0.37748625974985184,0.6389127881986272,0.6163659722900501
clim,24,0.2786053634415056,0.6720399769074591,-0.0035361320976696753,0.8131062333121625,-6.754728385349002e-16
nwp_max,24,0.2968249186789224,0.7434084746653128,-0.2816247005622227,0.860921241683906,0.5808979906718915
zero,48,0.1864844711634093,0.6962623347822311,-0.07791003988915739,0.9407358856689726,
nwp_mean,48,0.1893707326746207,0.5632564063300215,0.29473906818513246,0.6970329903371971,0.551279093806892
lgbm_tweedie,48,0.2046402828006311,0.5639635079852089,0.292671251479988,0.6788584731618634,0.547724036976431
lgbm_regression,48,0.22996501381844903,0.5700545988206721,0.27787156251649037,0.6877130423770127,0.5360674099192145
clim,48,0.2786053634415056,0.6720399769074591,-0.0035361320976696753,0.8131062333121625,-6.754728385349002e-16
nwp_max,48,0.3405526257339835,0.8509462739249513,-0.679935403745287,0.8918980968400487,0.46633138495330373
zero,72,0.1864844711634093,0.6962623347822311,-0.07791003988915739,0.9407358856689726,
nwp_mean,72,0.20408261043132736,0.5846912205203066,0.23974530159225138,0.7183915662074543,0.49861175041186395
lgbm_tweedie,72,0.2189950477882434,0.5962930966645607,0.21030329475951715,0.7105817381570688,0.4742339653053907
lgbm_regression,72,0.24489397859624748,0.5972391918319585,0.2056447132995709,0.7117427140258376,0.46309293825178793
clim,72,0.2786053634415056,0.6720399769074591,-0.0035361320976696753,0.8131062333121625,-6.754728385349002e-16
nwp_max,72,0.3896435030287433,0.8523079984680834,-0.6828942398692686,0.9252364746989855,0.45006589094116306
