lead,stage1,brier,crps
24,oracle,0.0,0.09132569980912879
24,lgbm_pav,0.09744448315374826,0.11842072379906922
24,lgbm_raw,0.09620152078827822,0.11852861210563809
24,climatology,0.16098376795460947,0.16514831998442356
48,oracle,0.0,0.09648787013718974
48,lgbm_pav,0.10472011024426205,0.12945422349194688
48,lgbm_raw,0.10429651953023406,0.12968911561549523
48,climatology,0.16098376795460947,0.16612578221270066
72,oracle,0.0,0.10072185038474961
72,lgbm_pav,0.11811792064177484,0.1409437191916114
72,lgbm_raw,0.11891539849309596,0.1411382609387072
72,climatology,0.16098376795460947,0.16764893014804727
