station,lead,stage1,brier,crps,n
Chards Snowdon Hill,24,lgbm_raw,0.09067576740196423,0.09889746853860298,5732
Chards Snowdon Hill,24,lgbm_pav,0.09135185513625835,0.09901157843981968,5732
Chards Snowdon Hill,24,oracle,0.0,0.07177529342357576,5732
Chards Snowdon Hill,24,climatology,0.15635486429015533,0.13994602702324405,5732
Chards Snowdon Hill,48,lgbm_raw,0.0998937556525506,0.10992510907300289,5732
Chards Snowdon Hill,48,lgbm_pav,0.09970109548774056,0.10907854778067343,5732
Chards Snowdon Hill,48,oracle,0.0,0.07706075957823035,5732
Chards Snowdon Hill,48,climatology,0.15635486429015533,0.14081712859611512,5732
Chards Snowdon Hill,72,lgbm_raw,0.11531756598341646,0.1197809347716974,5732
Chards Snowdon Hill,72,lgbm_pav,0.11473221009358837,0.11925500125139016,5732
Chards Snowdon Hill,72,oracle,0.0,0.07933213094757623,5732
Chards Snowdon Hill,72,climatology,0.15635486429015533,0.14182177204424312,5732
Goren,24,lgbm_raw,0.10068168148168617,0.12481868331694752,5627
Goren,24,lgbm_pav,0.10237563882916635,0.12483841996562073,5627
Goren,24,oracle,0.0,0.0972658539667504,5627
Goren,24,climatology,0.1651119224631992,0.1746221125937529,5627
Goren,48,lgbm_raw,0.10751601044999387,0.13706636707897604,5627
Goren,48,lgbm_pav,0.10776590266903682,0.13713987441483158,5627
Goren,48,oracle,0.0,0.1040258967523113,5627
Goren,48,climatology,0.1651119224631992,0.1762508010466202,5627
Goren,72,lgbm_raw,0.1233848785511753,0.14982124342140618,5627
Goren,72,lgbm_pav,0.12253161847630424,0.14924072189809076,5627
Goren,72,oracle,0.0,0.1088200909023338,5627
Goren,72,climatology,0.1651119224631992,0.1780773444831982,5627
Raymonds Hill,24,lgbm_raw,0.09724711348118427,0.13186968446136374,5730
Raymonds Hill,24,lgbm_pav,0.09860595549582007,0.13141217299176727,5730
Raymonds Hill,24,oracle,0.0,0.1049359520370602,5730
Raymonds Hill,24,climatology,0.16148451711047393,0.18087682033627372,5730
Raymonds Hill,48,lgbm_raw,0.1054797924881577,0.14207587069450678,5730
Raymonds Hill,48,lgbm_pav,0.10669333257600876,0.1421442482803356,5730
Raymonds Hill,48,oracle,0.0,0.10837695408102757,5730
Raymonds Hill,48,climatology,0.16148451711047393,0.18130941699536662,5730
Raymonds Hill,72,lgbm_raw,0.11804375094469614,0.1538126046230181,5730
Raymonds Hill,72,lgbm_pav,0.11708993335543189,0.15433543442535322,5730
Raymonds Hill,72,oracle,0.0,0.11401332930433877,5730
Raymonds Hill,72,climatology,0.16148451711047393,0.18304767391670046,5730
