station,lead,model,best_iter,wall_s,mae,rmse,r2,mae_wet,corr,n_test,n_wet
Chards Snowdon Hill,24,nwp_mean,-,0.0,0.14362600937095005,0.4276974503776408,0.39957583945561737,0.5377706617871302,0.6327947211573669,5732,1093
Chards Snowdon Hill,24,nwp_max,-,0.0,0.2891486392184228,0.7211590028537875,-0.7070525711225122,0.8494967978042086,0.5859622161619411,5732,1093
Chards Snowdon Hill,24,clim,-,0.0,0.24311077214371143,0.55245606808728,-0.0017983988597998213,0.6988478334158883,-3.7056157597560337e-16,5732,1093
Chards Snowdon Hill,24,zero,-,0.0,0.15914131193300768,0.5744438740905082,-0.08312864564199263,0.8345818847209516,,5732,1093
Chards Snowdon Hill,24,lgbm_regression,44,0.9,0.17172225440588623,0.4392594376267092,0.3666744056468908,0.5532257102045653,0.6065220503467921,5732,1093
Chards Snowdon Hill,24,lgbm_tweedie,43,1.1,0.15327176724503097,0.44041359654591294,0.3633418935990542,0.5409905008111855,0.6239653235899318,5732,1093
Chards Snowdon Hill,48,nwp_mean,-,0.0,0.16508282657096335,0.46481407691716775,0.290841387961575,0.5952184899577397,0.5476537826971589,5732,1093
Chards Snowdon Hill,48,nwp_max,-,0.0,0.3297801814375436,0.8252654420823183,-1.235487036818486,0.8594693504117109,0.4630536407770272,5732,1093
Chards Snowdon Hill,48,clim,-,0.0,0.24311077214371143,0.55245606808728,-0.0017983988597998213,0.6988478334158883,-3.7056157597560337e-16,5732,1093
Chards Snowdon Hill,48,zero,-,0.0,0.15914131193300768,0.5744438740905082,-0.08312864564199263,0.8345818847209516,,5732,1093
Chards Snowdon Hill,48,lgbm_regression,48,0.9,0.1942734443020833,0.4701547146215683,0.2744515345558559,0.5892710211449723,0.5424110671115511,5732,1093
Chards Snowdon Hill,48,lgbm_tweedie,43,0.9,0.17401861838779883,0.46702086930407943,0.28409167495120724,0.5811881372891053,0.5390268212821925,5732,1093
Chards Snowdon Hill,72,nwp_mean,-,0.0,0.1797445253048882,0.48382745247012315,0.2316380495814604,0.6143143815623231,0.48801533994007534,5732,1093
Chards Snowdon Hill,72,nwp_max,-,0.0,0.37911723656664337,0.824668767907478,-1.2322556518125065,0.8873741994510521,0.44608735430038066,5732,1093
Chards Snowdon Hill,72,clim,-,0.0,0.24311077214371143,0.55245606808728,-0.0017983988597998213,0.6988478334158883,-3.7056157597560337e-16,5732,1093
Chards Snowdon Hill,72,zero,-,0.0,0.15914131193300768,0.5744438740905082,-0.08312864564199263,0.8345818847209516,,5732,1093
Chards Snowdon Hill,72,lgbm_regression,48,1.3,0.20909132623172727,0.49872518293314466,0.1835916582412015,0.6042277241729853,0.4433616202481729,5732,1093
Chards Snowdon Hill,72,lgbm_tweedie,37,1.3,0.1873398828064171,0.4897683677660177,0.21265277432835217,0.5979176143129091,0.4706242146324529,5732,1093
Goren,24,nwp_mean,-,0.0,0.17617820542114127,0.5467074325773652,0.40242233851373155,0.657598433312719,0.6549846875059326,5627,1155
Goren,24,nwp_max,-,0.0,0.2980451395059534,0.7418043410961993,-0.10017846300912492,0.8412987012987013,0.587925743144652,5627,1155
Goren,24,clim,-,0.0,0.2958259062225773,0.7086408511633532,-0.004007060924185568,0.8443845908813917,-1.431956601309375e-15,5627,1155
Goren,24,zero,-,0.0,0.19891594099875604,0.734666730742826,-0.07910857747905897,0.969090909090909,,5627,1155
Goren,24,lgbm_regression,32,0.8,0.217278695448,0.5532010738979896,0.3881423040611879,0.654479759046535,0.6278254292864943,5627,1155
Goren,24,lgbm_tweedie,59,1.2,0.1935297147794696,0.5471831148116008,0.4013819987481233,0.6526031673161528,0.6435285906244779,5627,1155
Goren,48,nwp_mean,-,0.0,0.19947955012820837,0.5901853210519331,0.3035960829842874,0.7235188620902907,0.5577403779301603,5627,1155
Goren,48,nwp_max,-,0.0,0.346205793495646,0.8570607025206702,-0.468613658650721,0.8916883116883118,0.4694830075535458,5627,1155
Goren,48,clim,-,0.0,0.2958259062225773,0.7086408511633532,-0.004007060924185568,0.8443845908813917,-1.431956601309375e-15,5627,1155
Goren,48,zero,-,0.0,0.19891594099875604,0.734666730742826,-0.07910857747905897,0.969090909090909,,5627,1155
