mae,rmse,mae_wet,n,station,lead,model,crps,fit_s,extra
0.15830042323684398,0.43676455830829364,0.5426375401987694,5732,Chards Snowdon Hill,24,ts_quantile_stitch,0.10074035194726867,1.5,
0.17585112403653785,0.6254506952378526,0.5727342671246892,5732,Chards Snowdon Hill,24,ts_emos_gamma,0.10485150694112678,0.8,alpha=1.335 converged=True
0.17658888280154697,0.7052673400423503,0.5783041803588171,5732,Chards Snowdon Hill,24,ts_emos_lognormal,0.10544328817048532,0.1,sigma=0.867
0.17866427239050953,0.46260453232428933,0.5770559445742645,5732,Chards Snowdon Hill,48,ts_quantile_stitch,0.11164299462151109,1.7,
0.20256552359085708,0.7517368196139151,0.6484438514411796,5732,Chards Snowdon Hill,48,ts_emos_gamma,0.11619780820138895,0.8,alpha=1.275 converged=True
0.20056402558469624,0.7240990334380921,0.6431596686390167,5732,Chards Snowdon Hill,48,ts_emos_lognormal,0.11436072277674246,0.0,sigma=0.894
0.196018308508435,0.4918360721964376,0.6027232432755674,5732,Chards Snowdon Hill,72,ts_quantile_stitch,0.12114422397024763,1.4,
0.21343288664519985,0.5168070397998784,0.6193795929093876,5732,Chards Snowdon Hill,72,ts_emos_gamma,0.12228911996475535,0.8,alpha=1.197 converged=True
0.21320144359864093,0.5201441183479909,0.6240300212077063,5732,Chards Snowdon Hill,72,ts_emos_lognormal,0.12141847635886163,0.0,sigma=0.919
0.19431748588195016,0.5516805569196785,0.65764590989531,5627,Goren,24,ts_quantile_stitch,0.127668632156997,1.5,
0.21564619881215585,0.6904303047095652,0.6664753880688571,5627,Goren,24,ts_emos_gamma,0.12895554051254549,0.8,alpha=0.985 converged=True
0.23003560770261489,1.080090785936669,0.7076206296506397,5627,Goren,24,ts_emos_lognormal,0.1335954333042145,0.0,sigma=1.070
0.21839395565122616,0.5849321598778627,0.6996215087974327,5627,Goren,48,ts_quantile_stitch,0.13934507941708976,1.4,
0.25694059060585045,1.265290492107723,0.8048407968590743,5627,Goren,48,ts_emos_gamma,0.14573800745970508,0.9,alpha=0.946 converged=True
0.27414943521571017,1.6726127115374492,0.8675831748564641,5627,Goren,48,ts_emos_lognormal,0.14827636326964386,0.0,sigma=1.106
0.2418954270486506,0.6230064497416363,0.7296146076292743,5627,Goren,72,ts_quantile_stitch,0.15220681666606492,2.0,
0.2668013449277924,0.640565004959696,0.7411172339055757,5627,Goren,72,ts_emos_gamma,0.15075179447757614,1.0,alpha=0.906 converged=True
0.2795507096027474,0.6869920501393766,0.7739300862740949,5627,Goren,72,ts_emos_lognormal,0.15157792676058243,0.0,sigma=1.127
0.19670651037837855,0.6079692150274969,0.7178357800509313,5730,Raymonds Hill,24,ts_quantile_stitch,0.13308761095953134,1.5,
0.21553440723111747,0.6218106730836049,0.7052808557163627,5730,Raymonds Hill,24,ts_emos_gamma,0.13101095356275674,0.9,alpha=0.977 converged=True
0.21657766902615658,0.6816301811943206,0.7170480200909961,5730,Raymonds Hill,24,ts_emos_lognormal,0.13291353171615372,0.0,sigma=1.074
0.22082868572879738,0.6363390345486696,0.7542442854376454,5730,Raymonds Hill,48,ts_quantile_stitch,0.1447901744644362,1.6,
0.24913310469941904,0.6946740125583141,0.7939307221853629,5730,Raymonds Hill,48,ts_emos_gamma,0.14509978377068697,0.9,alpha=0.945 converged=True
0.25211326365910236,0.7318162826747292,0.8046297147633628,5730,Raymonds Hill,48,ts_emos_lognormal,0.14510060952246706,0.0,sigma=1.101
0.24301789463326395,0.6680412025374423,0.7898333507209507,5730,Raymonds Hill,72,ts_quantile_stitch,0.1557697770471471,1.6,
0.270443196188151,0.6901795858989063,0.8041531591903972,5730,Raymonds Hill,72,ts_emos_gamma,0.15482397140138987,0.7,alpha=0.895 converged=True
0.26959058695424326,0.6904804448378892,0.8082570095273741,5730,Raymonds Hill,72,ts_emos_lognormal,0.15393614922534932,0.0,sigma=1.129
