lead,model,crps,mae,rmse,mae_wet,fit_s
24,ts_ngboost_lognormal,0.11851905678028875,0.19037349537458748,0.5175559651324976,0.6251695141614529,4.833333333333333
24,ts_ngboost_gamma,0.11888992983340418,0.19862623650660047,0.523070105592386,0.6253533496041243,5.266666666666667
24,ts_quantile_stitch,0.12049886502126567,0.1831081398323909,0.5321381100851563,0.6393730767150035,0.4666666666666666
24,ts_emos_gamma,0.12160600033880968,0.2023439100266037,0.6458972243436742,0.6481635036366363,0.3
24,ts_emos_lognormal,0.12398408439695119,0.20773405317677282,0.8223294357244466,0.6676576100334843,0.0
48,ts_ngboost_lognormal,0.1296520155275079,0.21839289588829067,0.5557348546683673,0.668098801180126,3.8333333333333335
48,ts_ngboost_gamma,0.1296820897876654,0.22049780767475036,0.5565444585101943,0.6643044792498144,5.166666666666667
48,ts_quantile_stitch,0.13192608283434568,0.2059623045901777,0.5612919089169406,0.6769739129364476,0.4666666666666666
48,ts_emos_gamma,0.135678533143927,0.23621307296537553,0.9039004414266508,0.7490717901618722,0.26666666666666666
48,ts_emos_lognormal,0.1359125651896178,0.24227557481983628,1.0428426758834235,0.7717908527529479,0.0
72,ts_ngboost_lognormal,0.14121501168169695,0.2456860231074529,0.5920487352821747,0.704065211401546,3.5
72,ts_emos_lognormal,0.1423108507815978,0.2541142467185438,0.6325388711084189,0.7354057056697251,0.0
72,ts_emos_gamma,0.14262162861457378,0.2502258092537144,0.6158505435528269,0.7215499953351202,0.26666666666666666
72,ts_ngboost_gamma,0.14278922576605024,0.24819745774618215,0.5978514308147357,0.7044577827601147,4.566666666666666
72,ts_quantile_stitch,0.14304027256115323,0.22697721006344984,0.5942945748251721,0.7073904005419308,0.4666666666666666
