station,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Bellever,0.0,0.1,275,0.09547691147564674,0.007272727272727273,full_pooling
Bellever,0.1,0.2,1375,0.13779238946428463,0.13018181818181818,full_pooling
Bellever,0.2,0.30000000000000004,116,0.24169846488042115,0.5,full_pooling
Bellever,0.30000000000000004,0.4,60,0.3478007889645712,0.6166666666666667,full_pooling
Bellever,0.4,0.5,56,0.44141666666089313,0.7321428571428571,full_pooling
Bellever,0.5,0.6000000000000001,24,0.5397877700963898,0.8333333333333334,full_pooling
Bellever,0.6000000000000001,0.7000000000000001,16,0.6468274748377192,0.75,full_pooling
Bellever,0.7000000000000001,0.8,13,0.7477879826556276,0.6923076923076923,full_pooling
Bellever,0.8,0.9,18,0.8490938826320309,0.8888888888888888,full_pooling
Bellever,0.9,1.0,71,0.9810785688076292,0.8873239436619719,full_pooling
Princetown,0.0,0.1,286,0.09553661478196572,0.06293706293706294,full_pooling
Princetown,0.1,0.2,1353,0.14008427007663982,0.16186252771618626,full_pooling
Princetown,0.2,0.30000000000000004,237,0.23787777591806555,0.4008438818565401,full_pooling
Princetown,0.30000000000000004,0.4,95,0.3439692217342633,0.5157894736842106,full_pooling
Princetown,0.4,0.5,74,0.44632527761579455,0.6486486486486487,full_pooling
Princetown,0.5,0.6000000000000001,53,0.5490642747123329,0.5849056603773585,full_pooling
Princetown,0.6000000000000001,0.7000000000000001,33,0.644655036180654,0.7878787878787878,full_pooling
Princetown,0.7000000000000001,0.8,38,0.7622432539255307,0.6842105263157895,full_pooling
Princetown,0.8,0.9,67,0.8589453641556465,0.6567164179104478,full_pooling
Princetown,0.9,1.0,278,0.9837373114322084,0.8381294964028777,full_pooling
Hexworthy,0.0,0.1,276,0.09549187852708668,0.06521739130434782,full_pooling
Hexworthy,0.1,0.2,1375,0.13775614525865743,0.15927272727272726,full_pooling
Hexworthy,0.2,0.30000000000000004,116,0.24169846488042115,0.5172413793103449,full_pooling
Hexworthy,0.30000000000000004,0.4,60,0.3478007889645712,0.7,full_pooling
Hexworthy,0.4,0.5,56,0.44141666666089313,0.7321428571428571,full_pooling
Hexworthy,0.5,0.6000000000000001,24,0.5397877700963898,0.7916666666666666,full_pooling
Hexworthy,0.6000000000000001,0.7000000000000001,16,0.6468274748377192,0.8125,full_pooling
Hexworthy,0.7000000000000001,0.8,13,0.7477879826556276,0.6923076923076923,full_pooling
Hexworthy,0.8,0.9,18,0.8490938826320309,0.7777777777777778,full_pooling
Hexworthy,0.9,1.0,71,0.9810785688076292,0.9295774647887324,full_pooling
Bellever,0.0,0.1,647,0.08110332384606486,0.03709428129829984,no_pooling
Bellever,0.1,0.2,1020,0.1347201829340306,0.15784313725490196,no_pooling
Bellever,0.2,0.30000000000000004,92,0.2458781529393225,0.5652173913043478,no_pooling
Bellever,0.30000000000000004,0.4,50,0.33982196592206065,0.56,no_pooling
Bellever,0.4,0.5,56,0.4454291588764939,0.7321428571428571,no_pooling
Bellever,0.5,0.6000000000000001,29,0.5479921692386174,0.6551724137931034,no_pooling
Bellever,0.6000000000000001,0.7000000000000001,20,0.6520222932903115,0.95,no_pooling
Bellever,0.7000000000000001,0.8,15,0.7587911804568996,0.6666666666666666,no_pooling
Bellever,0.8,0.9,12,0.8585598401436939,0.9166666666666666,no_pooling
Bellever,0.9,1.0,83,0.979476380246124,0.8674698795180723,no_pooling
Princetown,0.0,0.1,342,0.09345059395214812,0.06140350877192982,no_pooling
Princetown,0.1,0.2,1396,0.13864270057451536,0.1819484240687679,no_pooling
Princetown,0.2,0.30000000000000004,186,0.23840008222562334,0.44623655913978494,no_pooling
Princetown,0.30000000000000004,0.4,105,0.3513966688126633,0.5523809523809524,no_pooling
Princetown,0.4,0.5,54,0.4416853758118763,0.6851851851851852,no_pooling
Princetown,0.5,0.6000000000000001,45,0.5541231309632961,0.6888888888888889,no_pooling
Princetown,0.6000000000000001,0.7000000000000001,31,0.6512809570925159,0.6451612903225806,no_pooling
Princetown,0.7000000000000001,0.8,49,0.7538368087416956,0.6326530612244898,no_pooling
Princetown,0.8,0.9,59,0.850447100432322,0.6779661016949152,no_pooling
Princetown,0.9,1.0,247,0.9826461741886254,0.8663967611336032,no_pooling
Hexworthy,0.1,0.2,1556,0.14936190545234376,0.12982005141388175,no_pooling
Hexworthy,0.2,0.30000000000000004,178,0.23693691411205903,0.4606741573033708,no_pooling
Hexworthy,0.30000000000000004,0.4,63,0.3445334721962436,0.5396825396825397,no_pooling
Hexworthy,0.4,0.5,60,0.4485534773720334,0.7166666666666667,no_pooling
Hexworthy,0.5,0.6000000000000001,41,0.5468501959493207,0.7317073170731707,no_pooling
Hexworthy,0.6000000000000001,0.7000000000000001,17,0.6418838104591859,0.8235294117647058,no_pooling
Hexworthy,0.7000000000000001,0.8,15,0.7428738477289571,0.7333333333333333,no_pooling
Hexworthy,0.8,0.9,19,0.8568807211458775,0.8947368421052632,no_pooling
Hexworthy,0.9,1.0,76,0.9794223717049266,0.8947368421052632,no_pooling
Bellever,0.0,0.1,637,0.08311565243476683,0.03296703296703297,partial_pooling
Bellever,0.1,0.2,1031,0.13436113001729685,0.16100872938894278,partial_pooling
Bellever,0.2,0.30000000000000004,95,0.2455676606963009,0.5368421052631579,partial_pooling
Bellever,0.30000000000000004,0.4,51,0.3481949767400235,0.5882352941176471,partial_pooling
Bellever,0.4,0.5,53,0.4443997163769227,0.7358490566037735,partial_pooling
Bellever,0.5,0.6000000000000001,30,0.5502029129496614,0.7,partial_pooling
Bellever,0.6000000000000001,0.7000000000000001,18,0.6541455408539812,0.9444444444444444,partial_pooling
Bellever,0.7000000000000001,0.8,14,0.7585956230413363,0.6428571428571429,partial_pooling
Bellever,0.8,0.9,15,0.8588533263453635,0.8,partial_pooling
Bellever,0.9,1.0,80,0.9815793073422429,0.8875,partial_pooling
Princetown,0.0,0.1,341,0.09351376213377632,0.06158357771260997,partial_pooling
Princetown,0.1,0.2,1387,0.1383976264194052,0.1802451333813987,partial_pooling
Princetown,0.2,0.30000000000000004,195,0.23753871175654034,0.441025641025641,partial_pooling
Princetown,0.30000000000000004,0.4,99,0.34955308155136045,0.5858585858585859,partial_pooling
Princetown,0.4,0.5,62,0.4427487022474114,0.6290322580645161,partial_pooling
Princetown,0.5,0.6000000000000001,41,0.549585729068359,0.6585365853658537,partial_pooling
Princetown,0.6000000000000001,0.7000000000000001,31,0.6468233946298075,0.6774193548387096,partial_pooling
Princetown,0.7000000000000001,0.8,52,0.7546024145713801,0.6346153846153846,partial_pooling
Princetown,0.8,0.9,57,0.8515885590419208,0.7017543859649122,partial_pooling
Princetown,0.9,1.0,249,0.9823352661844177,0.8594377510040161,partial_pooling
Hexworthy,0.1,0.2,1554,0.14839601049208648,0.1287001287001287,partial_pooling
Hexworthy,0.2,0.30000000000000004,184,0.23764677689755537,0.47282608695652173,partial_pooling
Hexworthy,0.30000000000000004,0.4,57,0.34471604788801413,0.5087719298245614,partial_pooling
Hexworthy,0.4,0.5,62,0.4474984528068247,0.7258064516129032,partial_pooling
Hexworthy,0.5,0.6000000000000001,42,0.5472720583196639,0.7380952380952381,partial_pooling
Hexworthy,0.6000000000000001,0.7000000000000001,16,0.6438125908406593,0.8125,partial_pooling
Hexworthy,0.7000000000000001,0.8,15,0.7442438437276628,0.7333333333333333,partial_pooling
Hexworthy,0.8,0.9,20,0.8561046991840282,0.9,partial_pooling
Hexworthy,0.9,1.0,75,0.9808567353670454,0.8933333333333333,partial_pooling
