station,lead_h,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Bellever,24,0.0,0.1,440,0.08365248364754341,0.05227272727272727,phase3a_per_lead
Bellever,24,0.1,0.2,641,0.1459312136196729,0.09516380655226209,phase3a_per_lead
Bellever,24,0.2,0.30000000000000004,517,0.23566146463508764,0.16827852998065765,phase3a_per_lead
Bellever,24,0.30000000000000004,0.4,58,0.3503053560327394,0.41379310344827586,phase3a_per_lead
Bellever,24,0.4,0.5,84,0.45239382117870786,0.5238095238095238,phase3a_per_lead
Bellever,24,0.5,0.6000000000000001,33,0.5520150250086271,0.45454545454545453,phase3a_per_lead
Bellever,24,0.6000000000000001,0.7000000000000001,50,0.6510357299572458,0.5,phase3a_per_lead
Bellever,24,0.7000000000000001,0.8,38,0.7389011145494498,0.7105263157894737,phase3a_per_lead
Bellever,24,0.8,0.9,44,0.8486562591216388,0.8181818181818182,phase3a_per_lead
Bellever,24,0.9,1.0,119,0.9746287934854402,0.7983193277310925,phase3a_per_lead
Bellever,48,0.0,0.1,594,0.07603877364219948,0.04882154882154882,phase3a_per_lead
Bellever,48,0.1,0.2,507,0.15067605627064656,0.09861932938856016,phase3a_per_lead
Bellever,48,0.2,0.30000000000000004,461,0.23043303977835664,0.2039045553145336,phase3a_per_lead
Bellever,48,0.30000000000000004,0.4,46,0.34707749797620946,0.34782608695652173,phase3a_per_lead
Bellever,48,0.4,0.5,77,0.46194306123524237,0.4675324675324675,phase3a_per_lead
Bellever,48,0.5,0.6000000000000001,86,0.5400818705307351,0.5,phase3a_per_lead
Bellever,48,0.6000000000000001,0.7000000000000001,34,0.6456588773949132,0.47058823529411764,phase3a_per_lead
Bellever,48,0.7000000000000001,0.8,56,0.7580241571401418,0.5178571428571429,phase3a_per_lead
Bellever,48,0.8,0.9,28,0.8443988039764747,0.75,phase3a_per_lead
Bellever,48,0.9,1.0,135,0.9796326440613496,0.762962962962963,phase3a_per_lead
Bellever,72,0.0,0.1,3,0.08166359166339468,0.0,phase3a_per_lead
Bellever,72,0.1,0.2,620,0.16407730358330846,0.06451612903225806,phase3a_per_lead
Bellever,72,0.2,0.30000000000000004,466,0.2493423935463974,0.19098712446351931,phase3a_per_lead
Bellever,72,0.30000000000000004,0.4,568,0.34311793035281135,0.18485915492957747,phase3a_per_lead
Bellever,72,0.4,0.5,121,0.4574735036610832,0.47107438016528924,phase3a_per_lead
Bellever,72,0.5,0.6000000000000001,60,0.5475184738193002,0.6166666666666667,phase3a_per_lead
Bellever,72,0.6000000000000001,0.7000000000000001,45,0.6499337009891372,0.6222222222222222,phase3a_per_lead
Bellever,72,0.7000000000000001,0.8,29,0.7392326791676533,0.7931034482758621,phase3a_per_lead
Bellever,72,0.8,0.9,29,0.8464263888022174,0.6206896551724138,phase3a_per_lead
Bellever,72,0.9,1.0,49,0.9594469392179809,0.6326530612244898,phase3a_per_lead
Princetown,24,0.0,0.1,368,0.08979958096146227,0.05434782608695652,phase3a_per_lead
Princetown,24,0.1,0.2,599,0.1461285143748672,0.13689482470784642,phase3a_per_lead
Princetown,24,0.2,0.30000000000000004,518,0.23598944336291086,0.1891891891891892,phase3a_per_lead
Princetown,24,0.30000000000000004,0.4,119,0.34972097582060496,0.3277310924369748,phase3a_per_lead
Princetown,24,0.4,0.5,156,0.45103708688229727,0.3525641025641026,phase3a_per_lead
Princetown,24,0.5,0.6000000000000001,72,0.5409942759806987,0.5138888888888888,phase3a_per_lead
Princetown,24,0.6000000000000001,0.7000000000000001,74,0.6571869423687132,0.5135135135135135,phase3a_per_lead
Princetown,24,0.7000000000000001,0.8,82,0.7456692252214209,0.47560975609756095,phase3a_per_lead
Princetown,24,0.8,0.9,105,0.8555142367852024,0.6476190476190476,phase3a_per_lead
Princetown,24,0.9,1.0,421,0.9809827443907954,0.7434679334916865,phase3a_per_lead
Princetown,48,0.0,0.1,452,0.07863783881521563,0.061946902654867256,phase3a_per_lead
Princetown,48,0.1,0.2,490,0.14462137582239026,0.13877551020408163,phase3a_per_lead
Princetown,48,0.2,0.30000000000000004,410,0.2293099303814188,0.1902439024390244,phase3a_per_lead
Princetown,48,0.30000000000000004,0.4,99,0.348971528695531,0.3939393939393939,phase3a_per_lead
Princetown,48,0.4,0.5,116,0.4561801123412916,0.3620689655172414,phase3a_per_lead
Princetown,48,0.5,0.6000000000000001,171,0.5415453980461673,0.3684210526315789,phase3a_per_lead
Princetown,48,0.6000000000000001,0.7000000000000001,74,0.6451020140391414,0.44594594594594594,phase3a_per_lead
Princetown,48,0.7000000000000001,0.8,88,0.7567013600031367,0.45454545454545453,phase3a_per_lead
Princetown,48,0.8,0.9,101,0.8489762953271264,0.5841584158415841,phase3a_per_lead
Princetown,48,0.9,1.0,513,0.9865272385592777,0.6608187134502924,phase3a_per_lead
Princetown,72,0.0,0.1,20,0.0729560685161875,0.4,phase3a_per_lead
Princetown,72,0.1,0.2,472,0.16596119596124054,0.1440677966101695,phase3a_per_lead
Princetown,72,0.2,0.30000000000000004,515,0.24972715743647822,0.2,phase3a_per_lead
Princetown,72,0.30000000000000004,0.4,579,0.3511929347488642,0.2469775474956822,phase3a_per_lead
Princetown,72,0.4,0.5,189,0.4522295826363235,0.37566137566137564,phase3a_per_lead
Princetown,72,0.5,0.6000000000000001,178,0.5419223795874503,0.39325842696629215,phase3a_per_lead
Princetown,72,0.6000000000000001,0.7000000000000001,136,0.6457964020356967,0.5147058823529411,phase3a_per_lead
Princetown,72,0.7000000000000001,0.8,90,0.7516643270886262,0.6333333333333333,phase3a_per_lead
Princetown,72,0.8,0.9,96,0.8504126223424414,0.5833333333333334,phase3a_per_lead
Princetown,72,0.9,1.0,239,0.9698677313102885,0.5983263598326359,phase3a_per_lead
Hexworthy,24,0.0,0.1,237,0.09288118702036324,0.05485232067510549,phase3a_per_lead
Hexworthy,24,0.1,0.2,763,0.13813330834056822,0.13368283093053734,phase3a_per_lead
Hexworthy,24,0.2,0.30000000000000004,588,0.23524882562952246,0.1649659863945578,phase3a_per_lead
Hexworthy,24,0.30000000000000004,0.4,50,0.35253147164700577,0.42,phase3a_per_lead
Hexworthy,24,0.4,0.5,80,0.45477582282112056,0.625,phase3a_per_lead
Hexworthy,24,0.5,0.6000000000000001,49,0.5510326508782897,0.6122448979591837,phase3a_per_lead
Hexworthy,24,0.6000000000000001,0.7000000000000001,45,0.6535250619037026,0.4666666666666667,phase3a_per_lead
Hexworthy,24,0.7000000000000001,0.8,45,0.7412999492468444,0.7111111111111111,phase3a_per_lead
Hexworthy,24,0.8,0.9,42,0.8582497230073446,0.7857142857142857,phase3a_per_lead
Hexworthy,24,0.9,1.0,126,0.977062977592723,0.8095238095238095,phase3a_per_lead
Hexworthy,48,0.0,0.1,420,0.08382762028659094,0.05238095238095238,phase3a_per_lead
Hexworthy,48,0.1,0.2,604,0.14350380902233292,0.12417218543046357,phase3a_per_lead
Hexworthy,48,0.2,0.30000000000000004,524,0.2357347204067072,0.20038167938931298,phase3a_per_lead
Hexworthy,48,0.30000000000000004,0.4,54,0.3581233862630609,0.5,phase3a_per_lead
Hexworthy,48,0.4,0.5,63,0.45893491389371727,0.5079365079365079,phase3a_per_lead
Hexworthy,48,0.5,0.6000000000000001,90,0.537107193662621,0.5777777777777777,phase3a_per_lead
Hexworthy,48,0.6000000000000001,0.7000000000000001,53,0.6475547046328063,0.6226415094339622,phase3a_per_lead
Hexworthy,48,0.7000000000000001,0.8,46,0.7575874526943526,0.5869565217391305,phase3a_per_lead
Hexworthy,48,0.8,0.9,33,0.8459649137653559,0.7575757575757576,phase3a_per_lead
Hexworthy,48,0.9,1.0,138,0.9797733011044542,0.7463768115942029,phase3a_per_lead
Hexworthy,72,0.0,0.1,1,0.09792097527357295,1.0,phase3a_per_lead
Hexworthy,72,0.1,0.2,564,0.1640430169708038,0.0797872340425532,phase3a_per_lead
Hexworthy,72,0.2,0.30000000000000004,433,0.251659338530396,0.17321016166281755,phase3a_per_lead
Hexworthy,72,0.30000000000000004,0.4,515,0.3568781543378492,0.2446601941747573,phase3a_per_lead
Hexworthy,72,0.4,0.5,231,0.4260678706488243,0.38095238095238093,phase3a_per_lead
Hexworthy,72,0.5,0.6000000000000001,78,0.5397156391854857,0.5128205128205128,phase3a_per_lead
Hexworthy,72,0.6000000000000001,0.7000000000000001,55,0.6540788225229636,0.6181818181818182,phase3a_per_lead
