station,lead,window_length,n_demo_days,mean_simulated_p,observed_frequency,calibration_gap
Bellever,24,2,40,0.9938500000000001,0.975,0.018850000000000144
Bellever,24,3,40,0.98095,0.975,0.005950000000000011
Bellever,24,4,40,0.96035,0.95,0.010350000000000081
Bellever,24,6,40,0.8807500000000001,0.875,0.005750000000000144
Princetown,24,2,41,0.972,0.975609756097561,-0.003609756097560979
Princetown,24,3,41,0.9100487804878048,0.9512195121951219,-0.04117073170731711
Princetown,24,4,41,0.838,0.9024390243902439,-0.06443902439024396
Princetown,24,6,41,0.6933170731707318,0.8292682926829268,-0.13595121951219502
Hexworthy,24,2,40,0.99265,0.975,0.017650000000000055
Hexworthy,24,3,40,0.9754999999999999,0.975,0.0004999999999999449
Hexworthy,24,4,40,0.9418,0.95,-0.008199999999999985
Hexworthy,24,6,40,0.8160000000000001,0.85,-0.03399999999999992
