Phase 6 — full 9-cell BART vs deployed 3a (ntree=500, k=3.0)
================================================================

                 station  lead  n_train  n_test  n_feats_eff  wall_s  bart_brier  bart_bss  deployed_3a_brier  delta_brier  delta_pct
    ea_bellever_dartmoor    24    14018    3005           22   209.3      0.1192    0.4756             0.1240      -0.0048      -3.87
    ea_bellever_dartmoor    48    14002    3001           22   237.2      0.1312    0.4232             0.1389      -0.0077      -5.55
    ea_bellever_dartmoor    72    13985    2998           22   216.1      0.1453    0.3619             0.1552      -0.0099      -6.39
ea_dartmoor_nr_hexworthy    24    14032    3008           22   244.0      0.1328    0.4457             0.1386      -0.0058      -4.15
ea_dartmoor_nr_hexworthy    48    14016    3004           22   121.7      0.1461    0.3904             0.1521      -0.0059      -3.90
ea_dartmoor_nr_hexworthy    72    13999    3001           22   136.7      0.1568    0.3467             0.1636      -0.0068      -4.14
         ea_bovey_tracey    24    13525    2899           22   134.7      0.0987    0.4795             0.1003      -0.0016      -1.58
         ea_bovey_tracey    48    13508    2896           22   175.2      0.1174    0.3811             0.1160       0.0014       1.21
         ea_bovey_tracey    72    13491    2892           22   116.8      0.1244    0.3456             0.1279      -0.0035      -2.73

Negative delta_brier = BART wins.
